Kata;Bobot
 jilidii;0,012300737
 jilidii;0,011984697
 jilidii;0,011929503
 jilidii;0,010542715
 jilidii;0,010455659
 jilidii;0,00915663
 jilidii;0,008736487
 jilidii;0,008511522
 jilidii;0,007672402
 jilidii;0,007441036
 jilidii;0,007373484
 jilidii;0,007237036
 jilidii;0,006961907
 jilidii;0,006763357
 jilidii;0,006656366
 jilidii;0,00656132
 jilidii;0,005895473
 jilidii;0,005160399
 jilidii;0,003985525
 jilidii;0,003277046
 jilidii;0,002564798
 jilidii;0,002547285
 jilidii;0,000357877
 jilidii;0,000238223
 jokowimembangunnegeri;0,044250783
 jual;0,012070957
 juang;0,000254024
 juara;0,052375103
 jumatberkah;0,039960445
 jumatberkah;0,03039427
 juta;0,048043684
 juta;0,040544027
 juta;0,034017043
 juta;0,020939644
 juta;0,019078289
 juta;0,014516759
 juta;0,013250465
 juta;0,009754045
 juta;0,008449052
 juta;0,008024757
 juta;0,004813416
 juta;0,000790299
 kabinet;0,003075508
 kabinet;0,002344669
 kaca;0,004095908
 kait;0,004983872
 kalo;0,00059347
 kalo;0,000236641
 kanebo;0,072941998
 kanwil;0,045592171
 karbon;0,268947274
 karbon;0,253711465
 karbon;0,239338718
 karbon;0,238596536
 karbon;0,201828157
 karbon;0,192956521
 karbon;0,187396655
 karbon;0,186893006
 karbon;0,185802879
 karbon;0,159907631
 karbon;0,155113136
 kawanpajak;0,038004185
 kaya;0,045644717
 kaya;0,001075144
 kaya;0,000964954
 keburu;0,050756022
 kelabu;0,001180153
 kembang;0,027315144
 kembang;0,024099955
 kembang;0,023308367
 kemenkeu;0,053179808
 kemenkeu;0,007081162
 kemenkeu;0,004414942
 kena;0,068278544
 kena;0,057837614
 kena;0,036977037
 kena;0,028408774
 kena;0,02673896
 kena;0,025442828
 kena;0,024101656
 kena;0,022650115
 kena;0,021160042
 kena;0,021043883
 kena;0,021009538
 kena;0,019056228
 kena;0,01814083
 kena;0,018077375
 kena;0,018074716
 kena;0,017745694
 kena;0,016667025
 kena;0,015925488
 kena;0,015868617
 kena;0,015211317
 kena;0,014015942
 kena;0,013804342
 kena;0,013508077
 kena;0,013318187
 kena;0,012624625
 kena;0,01131898
 kena;0,01091734
 kena;0,010527704
 kena;0,010448536
 kena;0,009891933
 kena;0,008819995
 kena;0,007598612
 kena;0,007511333
 kena;0,00691404
 kena;0,006814957
 kena;0,006660174
 kena;0,006095979
 kena;0,005870337
 kena;0,005014124
 kena;0,004053547
 kena;0,00323115
 kena;0,003094987
 kena;0,002166923
 kena;0,001787939
 kena;0,000764431
 kenal;0,026491503
 kendali;0,048801063
 kerja;0,090810366
 kerja;0,052816325
 kerja;0,048424951
 kerja;0,032153088
 kerja;0,028319705
 kerja;0,024999747
 kerja;0,022186655
 kerja;0,019225341
 kerja;0,018033146
 kerja;0,005199869
 kerja;0,004590109
 kerja;0,00414317
 kerja;0,003167498
 ketok;0,071252343
 ketok;0,046347571
 keujanan;0,000553467
 khawatir;0,091758513
 khawatir;0,082441641
 klaim;0,175228562
 klaim;0,167041981
 klaim;0,050931892
 kolega;0,001235851
 kolega;0,000906977
 komisi;0,156543081
 komitmen;0,061857999
 konglo;0,042132557
 konglo;0,005864772
 konsep;0,101851891
 konsumsi;0,129953275
 korban;0,00066667
 korupsi;0,006356852
 korupsi;0,006195001
 koruptor;0,00137139
 kpp;0,14177286
 kpp;0,129743677
 krupuk;0,000620381
 ktp;0,090219143
 ktp;0,056574524
 ktp;0,026731904
 ktp;0,021505812
 ktp;0,020846645
 ktp;0,017961527
 ktp;0,016610026
 ktp;0,015350638
 ktp;0,01036562
 ktp;0,008137665
 ktp;0,001673281
 kuasa;0,019478414
 kuasa;0,009011829
 kuasa;0,008786328
 kuasa;0,006710764
 kuasa;0,006568648
 kuasa;0,003857732
 kuasa;0,002740543
 kuasa;0,002076907
 kuat;0,224669989
 kuat;0,211289585
 kuat;0,202296318
 kuat;0,193371975
 kuat;0,192668578
 kuat;0,183750441
 kuat;0,180498337
 kuat;0,176629529
 kuat;0,175196313
 kuat;0,17107777
 kuat;0,155038561
 kuat;0,105981014
 kuat;0,093503357
 kuat;0,080489217
 kuat;0,076138465
 kuat;0,021823898
 kumpul;0,069357208
 kumpul;0,068945381
 kursrupiah;0,016493258
 kurus;0,000114262
 kurus;8,84422E-05
 labu;0,001525033
 laju;0,078616121
 laksana;0,110145793
 laksana;0,110083974
 laksana;0,088762976
 laksana;0,071695185
 laksana;0,056903328
 laksana;0,056791196
 laku;0,070939593
 laku;0,068378886
 laku;0,065524638
 laku;0,059433246
 laku;0,045247256
 laku;0,04254409
 laku;0,041730206
 laku;0,038543314
 laku;0,038170433
 laku;0,036185877
 laku;0,034850772
 laku;0,028410849
 laku;0,027452955
 laku;0,023852406
 langkah;0,026231653
 langkah;0,002816355
 langkah;0,002594052
 langkah;0,001280103
 langsung;0,001521117
 laoly;0,001156862
 layak;0,164409286
 layak;0,030720375
 layan;0,002152274
 legislatif;0,227117664
 legislatif;0,226519959
 lemah;0,134095614
 lembaga;0,06035586
 lembaga;0,019690716
 lengkap;0,015108022
 level;0,104728215
 level;0,04763047
 ln;0,039195371
 ln;0,016023439
 luas;0,185719759
 luas;0,061662265
 luas;0,044345162
 luas;0,024419414
 lumayan;0,042426507
 lumayan;0,009810687
 lumayan;0,007068357
